Abelar_Hightower
Tourney_at_Ashford_Meadow
Addam
Addam_Frey
Whitewalls_tourney
Addam_Marbrand
House_Lannister
Addam_Osgrey
First_Blackfyre_Rebellion
Addam_Velaryon
Dance_of_the_Dragons
Addison_Hill
Kingsguard
Aegon_Blackfyre
Aegon_Frey_(son_of_Stevron)
Aegon_Frey_(son_of_Aenys)
Riverlands
Aegon_I_Targaryen
Seven_Kingdoms
Aegon_II_Targaryen
Dance_of_the_Dragons
Aegon_III_Targaryen
Aegon_IV_Targaryen
Aegon_V_Targaryen
Aegon_Targaryen_(son_of_Rhaegar)
Sack_of_King%27s_Landing
Aegon_Targaryen_(son_of_Aenys_I)
Aegon_Targaryen_(son_of_Baelon)
Aegon_Targaryen_(son_of_Jaehaerys_I)
Aegor_Rivers
Aelinor_Penrose
Aemma_Arryn
Daella_Targaryen_(daughter_of_Jaehaerys_I)
Viserys_I_Targaryen
Rhaenyra_Targaryen
Aemon_Blackfyre
Aemon_Costayne
Aemon_Estermont
Aemon_Rivers
Aemon_Targaryen
Kingsguard
Maester_Aemon
Night%27s_Watch
Aemond_Targaryen
Aenys_Frey
Aenys_I_Targaryen
Aerion_Targaryen
Aeron_Greyjoy
Drowned_God
Aerys_I_Targaryen
Aerys_II_Targaryen
Aethan
Aethelmure
Citadel
Aggar
Aggo
Aglantine
Agrivane
Aladale_Wynch
Alan
Alannys_Harlaw
Alaric_of_Eysen
Alayaya
Albar_Royce
Albett
Alebelly
Alekyne_Florent
Alequo_Adarys
Alerie_Hightower
Alesander_Frey
Alesander_Staedmon
Alesander_Torrent
Alester_Florent
Alester_Norcross
Alester_Oakheart
Alfyn
Alia
Purple_Wedding
Alicent_Hightower
All-for-Joffrey
Alla_Tyrell
Allaquo
Allar_Deem
Allard_Seaworth
Alliser_Thorne
Castle_Black
Allyria_Dayne
Alvyn_Sharp
Alyce
Alyce_Graceford
Alyn
Alyn_Ambrose
Alyn_Cockshaw
Alyn_Connington
Alyn_Estermont
Alyn_Frey
Alyn_Haigh
Alyn_Hunt
Alyn_Stackspear
Westerlands
Alyn_Velaryon
Alys_Arryn
Alys_Karstark
Alysane_Mormont
Alysanne_Bracken
Alysanne_Bulwer
Alysanne_Hightower
Alysanne_Lefford
Alysanne_of_Tarth
Alysanne_Osgrey
Alysanne_Targaryen
Alys_Frey
Alyssa_Arryn
Alyssa_Blackwood
Alyx_Frey
Amabel
Amarei_Crakehall
Ambrode
Ambrose_Butterwell
Amerei_Frey
Amory_Lorch
House_Lannister
Andar_Royce
Anders_Yronwood
Andrew_Estermont
Andrey_Charlton
Andrey_Dalt
Andrik
Andros_Brax
Androw_Ashford
Tourney_at_Ashford_Meadow
Androw_Frey
Anguy
Brotherhood_without_banners
Annara_Farring
Walder_Frey
Antario_Jast
Anvil_Ryn
Anya_Waynwood
Archibald_Yronwood
Ardrian_Celtigar
Areo_Hotah
House_Martell
Argilac
Argrave_the_Defiant
Arianne_Martell
Sunspear
Arianne_of_Tarth
Arlan_of_Pennytree
Armen
Armond_Caswell
Arneld
Arnell
Arnolf_Karstark
Aron_Santagar
Arrec_Durrandon
Arron
Arron_Qorgyle
Artys_Arryn
Arryk
Dance_of_the_Dragons
Arryk_(guard)
Arson
Arthor_Karstark
Arthur_Ambrose
Arthur_Dayne
Artos_Stark
Arwood_Frey
Arwyn_Frey
Arwyn_Oakheart
Arya_Stark
Arys_Oakheart
Kingsguard
Asha_Greyjoy
Ashara_Dayne
Lord_Ashford
Assadora_of_Ibben
Braavos
Aubrey_Ambrose
Aurane_Waters
Axell_Florent
Ayrmidon
Azzak
Azor_Ahai
R%27hllor
Bael_the_Bard
Baela_Targaryen
Baelon_Targaryen_(son_of_Aerys)
Baelon_Targaryen_(son_of_Viserys_I)
Viserys_I_Targaryen
Aemma_Arryn
Baelor_Blacktyde
Baelor_Hightower
Baelor_I_Targaryen
Baelor_Targaryen_(son_of_Daeron_II)
Ballabar
Arbor
Balman_Byrch
Balon_Botley
Balon_Greyjoy
Pyke
Balon_Swann
Bandy
Bannen
Barba_Bracken
Barbara_Bracken
Barbrey_Dustin
Barra
Barre
Barristan_Selmy
Barsena_Blackhair
Barth
Barth_(brewer)
Barthogan_Stark
Bass
Bayard_Norcross
Bearded_Ben
Beardless_Dick
Becca
Becca_the_Baker
Beck
Bedwyck
Belandra
Belaquo_Bonebreaker
Beldecar
Belgrave
Belis
Bella
Bellegere_Otherys
Bellegere_Otherys_(Courtesan)
Bellena_Hawick
Bellonara_Otherys
Belwas
Ben
Ben_(Big_Belly)
Ben_Blackthumb
Harrenhal
Ben_Bones
The_Dreadfort
Ben_Bushy
Ben_Plumm
Benedar_Belmore
Strongsong
Benedict
Benedict_Broom
Casterly_Rock
Benfred_Tallhart
Benfrey_Frey
Benjen_Stark
Night%27s_Watch
Castle_Black
Benjen_Stark_(Bitter)
Benjen_Stark_(Sweet)
Bennard_Brune
Bennarion_Botley
Bennet
Bennis
Beqqo
Braavos
Beren_Tallhart
Berena_Hornwood
Beric_Dondarrion
Blackhaven
Beron_Stark
Beron_Blacktyde
Bertram_Beesbury
Bess_Bracken
Bessa
Bessa_(Winterfell)
Beth_Cassel
Blushing_Bethany
Bethany_Bolton
Bethany_Bracken
Bethany_Fair-Fingers
Bethany_Redwyne
Bethany_Rosby
Betharios_of_Braavos
Bhakaz_zo_Loraq
Bharbo
Big_Boil
Biter
Black_cells
Black_Balaq
Black_Bernarr
Black_Jack_Bulwer
Blane
Blind_Doss
Free_folk
Bloodbeard
Company_of_the_Cat
Bluetooth
Bodger
Bonifer_Hasty
Borcas
Boremund_Harlaw
Boros_Blount
Borroq
Bors
Bowen_Marsh
Boy
Bradamar_Frey
Brandon_Norrey
Brandon_Stark
Brandon_Stark_(son_of_Cregan)
Bran_Stark
Bran_the_Builder
The_Wall
Brandon_Stark_(Bad)
Brandon_Stark_(Burner)
Brandon_Stark_(the_daughterless)
Brandon_Stark_(Shipwright)
Brandon_Tallhart
Branston_Cuy
Brea
Brella
Brenett
Briar
Brienne_of_Tarth
Brogg
Free_Folk
Bronn
Brown_Bernarr
Brusco
Bryan_Frey
Bryan_Fossoway
House_Fossoway_of_Cider_Hall
Bryan_of_Oldtown
Bryce_Caron
Rainbow_Guard
Bryen
Bryen_Caron
Nightsong
Bryen_Farring
Brynden_Rivers
Brynden_Tully
Buford_Bulwer
Bump
Burton_Crakehall
Butterbumps
Buu
Byam_Flint
Night%27s_Watch
Byan_Votyris
Byren_Flowers
Byron
Cadwyl
Cadwyn
Lord_Cafferen
Craghas_Drahar
Caleotte
Calon
Winterfell
Camarron_of_the_Count
Canker_Jeyne
Braavos
Carellen_Smallwood
Carolei_Waynwood
Carrot
Cass
Cassana_Estermont
Cassella_Vaith
Lord_Caswell
Bitterbridge
Castos
Catelyn_Bracken
Catelyn_Stark
House_Tully
Cayn
Cedra
Cedric_Payne
Cedrik_Storm
Cellador
Cerenna_Lannister
Cerrick
Coldmoat
Cersei_Frey
Cersei_Lannister
Cetheres
Chataya
Chayle
Chella
Chett
Cheyk
Chiggen
Chiswyck
Clarence_Charlton
Whitewalls_Tourney
Clarence_Crabb
Clarence_Crabb_(Short)
Clarent_Crakehall
Dance_of_the_Dragons
Clayton_Suggs
Clement
Quiet_Isle
Clement_Crabb
Clement_Piper
Pinkmaiden
Cleon
Cleos_Frey
Cletus_Yronwood
Cley_Cerwyn
Cleyton_Caswell
Clifford_Conklyn
Leafy_Lake
Clubfoot_Karl
Night%27s_Watch
Clydas
Cohollo
Bloodrider
Coldhands
Colemon
Eyrie
Colen_of_Greenpools
Colin_Florent
Collio_Quaynis
Colmar_Frey
Conn
Conwy
Coratt
Corliss_Penny
Corlys_Velaryon
Cortnay_Penrose
Storm%27s_End
Cosgrove
Cossomo
Cotter_Pyke
Eastwatch-by-the-Sea
Courtenay_Greenhill
Cragorn
Craster
Crawn
Cregan_Karstark
Cregan_Stark
Creighton_Longbough
Creighton_Redfort
Cressen
Criston_Cole
Cuger
Cutjack
Cynthea_Frey
Cyrenna_Swann
Daario_Naharis
Stormcrows
Dacey_Mormont
Bear_Island
Dacks
Daegon_Shepherd
Daella_Targaryen_(daughter_of_Jaehaerys_I)
Kingship
Jaehaerys_I_Targaryen
Alysanne_Targaryen
Aemma_Arryn
Daella_Targaryen_(daughter_of_Maekar_I)
Maekar_I_Targaryen
Daemon_I_Blackfyre
House_Targaryen
Blackfyre_Rebellion
Daemon_II_Blackfyre
Daemon_Sand
Knight
Daemon_Targaryen
Viserys_I_Targaryen
Rhaenyra_Targaryen
Daena_Targaryen
Baelor_I_Targaryen
Daenerys_Targaryen_(daughter_of_Aegon_IV)
Daenerys_Targaryen
Daeron_I_Targaryen
Daeron_II_Targaryen
Daeron_Targaryen_(son_of_Viserys_I)
Daeron_Targaryen_(son_of_Maekar_I)
Maekar_I_Targaryen
Daeron_Vaith
Daeryssa
Serwyn_of_the_Mirror_Shield
Dafyn_Vance
Dagmer
Ironmen
Dagon_Ironmaker
Erik_Ironmaker
Dagon_Greyjoy
Dagos_Manwoody
Dake
Dake_(Guard)
Dalbridge
Dale_Drumm
Dale_Seaworth
Dalla
Dalla_(Dragonstone)
Dragonstone
Damion_Lannister
Damon_Dance-for-Me
Ramsay_Snow
Bastard%27s_Boys
Damon_Lannister_(lord)
Damon_Lannister_(son_of_Jason)
Jason_Lannister_(son_of_Gerold)
Damon_Paege
Damon_Shett
Damon_Vypren
Dan
Wildling
Dancy
Danelle_Lothston
Danny_Flint
Danos_Slynt
Danwell_Frey
Dareon
Darla_Deddings
Darlessa_Marbrand
Daryn_Hornwood
Daughter_of_the_Dusk
Daven_Lannister
Davos_Seaworth
Stannis_Baratheon
Deana_Hardyng
Del
Delena_Florent
Edric_Storm
Della_Frey
Delonne_Allyrion
Delp
Riverrun
Denestan
Dennet
Brotherhood_without_banners
Dennis_Plumm
Denyo_Terys
Denys_Arryn
Vale
Denys_Darklyn
Denys_Drumm
Denys_Mallister
Shadow_Tower
Denys_Redwyne
Denyse_Hightower
Dermot
Desmond
Desmond_Grell
Riverrun
Desmond_Redwyne
Devan_Seaworth
Devyn_Sealskinner
Free_Folk
Deziel_Dalt
Lemonwood
Dhazzar
Dick
Dick_Crabb
Dick_Follard
Dickon_Frey
Dickon_Manwoody
Dickon_Tarly
Horn_Hill
Dirk
Dobber
Dolf
Domeric_Bolton
Donal_Noye
Donel_Greyjoy
Donella_Hornwood
Hornwood
Donnel_Drumm
Donnel_Haigh
House_Frey
Donnel_Hill
Donnel_Locke
Oldcastle
Donnel_of_Duskendale
Donnel_Waynwood
Bloody_Gate
Donnis
Donnor_Stark
Dontos_Hollard
Donyse
Doran_Martell
Sunspear
Dorne
Dorcas
Dorea_Sand
Doreah
Dormund
Dornish_Dilly
Dorren_Stark
Draqaz
Drennan
Drogo
Dothraki
Khal
Dryn
Dudley
Dunaver
Harrenhal
Dunk
The_Hedge_Knight
Lord_Commander_of_the_Kingsguard
Duncan_Targaryen
Aegon_V_Targaryen
Dunsen
Dunstan_Drumm
Duram_Bar_Emmon
Sharp_Point
Durran
Storm_King
Dyah
Dykk_Harlaw
Dywen
Easy
Ebben
Ebrose
Citadel
Eddara_Tallhart
Eddard_Karstark
Eddard_Stark
Winterfell
Edderion_Stark
Eddison_Tollett
Eden_Risley
Edgerran_Oakheart
Edmund_Ambrose
Edmure_Tully
Edmyn_Tully
Riverrun
Edric_Dayne
Starfall
Edric_Storm
Edrick_Stark
Edwyd_Fossoway
House_Fossoway_of_Cider_Hall
Edwyle_Stark
Edwyn_Frey
Edwyn_Osgrey
Redgrass_Field
Edwyn_Stark
Eggon
Gregor_Clegane
Eglantine
Egon_Emeros
Elaena_Targaryen
Elbert_Arryn
Elder_Brother_(Quiet_Isle)
Elder_Brother
Quiet_Isle
Eldiss
Eldon_Estermont
Greenstone
Eldred_Codd
Eleanor_Mooton
Eleyna_Westerling
Elia_Sand
Elia_Martell
Elinor_Tyrell
Ellaria_Sand
Ellery_Vance
Ellyn_Tarbeck
Elmar_Frey
Elron
Elwood
Elwood_Meadows
Grassy_Vale
Elyana_Vypren
Elyas_Willum
Elyn_Norridge
Elys_Waynwood
Elys_Westerling
War_of_the_Usurper
Elza
Emberlei_Frey
Emma
Emmon_Cuy
Emmon_Frey
Emmond
Emphyria_Vance
Emrick
Endehar
Endrew_Tarth
Enger
Eon_Hunter
Longbow_Hall
Erena_Glover
Erik_Ironmaker
Ermesande_Hayford
Hayford
Eroeh
Lhazareen
Erreck
Erreg
Erren_Florent
Errok
Erryk
Dance_of_the_Dragons
Erryk_(guard)
Esgred
Ethan_Glover
Euron_Greyjoy
Eustace_(Braavos)
Eustace_(Dance_of_the_Dragons)
Eustace_Brune
Eustace_Hunter
Eon_Hunter
Eustace_Osgrey
Eyron_Stark
Ezzara
Ezzelyno
R%27hllor
Falena_Stokeworth
Falia_Flowers
Falyse_Stokeworth
Stokeworth
Farlen
House_Farman
Fearless_Ithoke
House_Fell
Fern
Ferny
Ferrego_Antaryon
Ferret
Flement_Brax
Fogo
Forley_Prester
Fornio
Franklyn_Fowler
Franklyn_Frey
Fralegg
Frenken
Frenya
Spearwife
Frynne
Gage
Galazza_Galare
Galbart_Glover
Deepwood_Motte
Galladon_of_Morne
Galladon_of_Tarth
Gallard
Galt
Stone_Crows
Galtry_the_Green
Galyeon_of_Cuy
Gared
Gareth_Clifton
Gareth_the_Grey
Garigus
Alchemists%27_Guild
Garin_(Orphans)
Greenblood
Garin_(Prince)
Gariss
Garizon
Garlan_Tyrell
Garrett_Flowers
Garrett_Paege
Garrison_Prester
Feastfires
Garse_Flowers
Garse_Goodbrook
Garth_of_Greenaway
Garth_Gardener_(Greenhand)
The_Reach
Garth_XII_Gardener
Garth_Greenfield
Garth_Greyfeather
Garth_Hightower
Garth_of_Oldtown
Garth_Tyrell
Gascoyne
Gavin
Free_Folk
Gawen_Glover
Gawen_Swann
Gawen_Westerling
The_Crag
Gawen_Wylde
Gelmarr
Gendel
King-Beyond-the-Wall
Gendry
Genna_Lannister
Gerald_Gower
Gerardys
Maesters#Grand_Maester
Gerion_Lannister
Gerold_Dayne
Gerold_Grafton
Gerold_Hightower
Gerold_Lannister
Gerren
Gerrick_Kingsblood
Free_Folk
Gerris_Drinkwater
Gevin_Harlaw
House_Harlaw
Ghael
Ghost_of_High_Heart
Gilbert_Farring
Gillam
Gilly
Gilwood_Hunter
Gladden_Wylde
Rain_House
Glendon_Flowers
Glendon_Hewett
Goady
Godric_Borrell
Sweetsister
Godry_Farring
Godwyn
Goghor_the_Giant
Goodwin
Gorghan_of_Old_Ghis
Gormon_Peake
Gormon_Tyrell
Gormond_Drumm
Gormond_Goodbrother
Gorne
Gorold_Goodbrother
Gowen_Baratheon
Gran_Goodbrother
Grance_Morrigen
Ashford_Tourney
Grazdan
Grazdan_(Great)
Ghiscari_Empire
Grazdan_mo_Eraz
Grazdan_mo_Ullhor
Grazdan_zo_Galare
Grazhar_zo_Galare
Great_Walrus
Free_Folk
Frozen_Shore
Green_Gergen
Greenbeard
Brotherhood_without_banners
Tyrosh
Gregor_Clegane
Grenn
Gretchel
Grey_King
Grey_Worm
Unsullied
Greydon_Goodbrother
Griffin_King
Grigg
Grisel
Grisella
Groleo
Grubbs
Grunt
Ramsay_Bolton
Bastard%27s_Boys
Gueren
Gulian
Gulian_Qorgyle
Gulian_Swann
Stonehelm
Guncer_Sunglass
Sweetport_Sound
Gunthor_son_of_Gurn
Mountains_of_the_Moon
Gunthor_Hightower
Gurn
Guthor_Grimm
Greyshield
Guyard_Morrigen
Guyne
Gwayne_Corbray
Gwayne_Gaunt
